,REPORT_PERIOD,TOTAL,Missing,Missing nonDEL
0,1997-12-31,720,720.0,720.0
1,1998-12-31,826,1.0,1.0
2,1999-12-31,923,1.0,1.0
3,2000-12-31,1060,1.0,1.0
4,2001-12-31,1136,1.0,1.0
5,2002-12-31,1200,2.0,2.0
6,2003-12-31,1263,1.0,
7,2004-12-31,1353,,
8,2005-12-31,1358,6.0,1.0
9,2006-12-31,1411,,
10,2007-12-31,1527,1.0,
11,2008-12-31,1602,,
12,2009-12-31,1696,3.0,
13,2010-12-31,2041,1.0,
14,2011-12-31,2320,3.0,
15,2012-12-31,2472,,
16,2013-12-31,2468,,
17,2014-12-31,2592,1.0,
18,2015-12-31,2808,,
19,2016-12-31,3034,1.0,
20,2017-12-31,3467,,
21,2018-12-31,3565,2.0,2.0
